,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,type
2531,6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5,white
3398,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6,white
5384,6.5,0.25,0.27,17.4,0.064,29,140,0.99776,3.2,0.49,10.1,6,white
938,12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,4,red
605,8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,6,red
4568,8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5,white
1695,7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6,white
5273,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7,white
4018,6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5,white
5203,7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6,7,white
2495,5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6,white
5690,6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,6,white
823,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,red
371,6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5,red
6433,5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6,white
3004,9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,5,white
1512,7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5,red
2796,6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7,white
50,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,red
4927,5.8,0.17,0.36,1.3,0.036,11,70,0.99202,3.43,0.68,10.4,7,white
4931,6.8,0.23,0.32,8.6,0.046,47,159,0.99452,3.08,0.52,10.5,6,white
608,8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,6,red
1449,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5,red
6084,5.8,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5,white
1288,8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5,red
2658,7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6,white
3260,6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,6,white
4208,7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6,white
474,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5,red
6239,6.9,0.54,0.26,12.7,0.049,59,195,0.99596,3.26,0.54,10.5,6,white
3489,7.6,0.15,0.4,1.3,0.036,24,112,0.9932,3.14,0.76,10,5,white
1378,5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6,red
1735,6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5,white
4510,6.1,0.37,0.2,7.6,0.031,49,170,0.99558,3.22,0.48,9.5,5,white
2405,7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6,white
4720,6.2,0.25,0.42,8,0.049,53,206,0.99586,3.16,0.47,9.1,6,white
1284,8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,6,red
2087,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6,white
2944,7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8,white
3586,7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6,white
5902,7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,6,white
1342,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red
5103,6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,7,white
4283,7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5,white
2919,6.4,0.25,0.53,6.6,0.038,59,234,0.9955,3.03,0.42,8.8,5,white
467,10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6,red
1881,6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,8,white
3030,7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4,white
2448,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,white
3613,6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6,white
1263,9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5,red
2206,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5,white
2340,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,white
1369,8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6,red
5503,5.8,0.27,0.26,3.5,0.071,26,69,0.98994,3.1,0.38,11.5,6,white
5060,6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6,white
5083,6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13,7,white
5882,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5,white
4758,7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7,white
2577,6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5,white
6464,6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.633333333,5,white
5218,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7,white
995,10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5,red
1404,7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,8,red
3755,7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,5,white
960,8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5,red
4202,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6,white
5277,6.9,0.58,0.58,8.2,0.032,29,169,0.99275,3.28,0.44,12.2,6,white
1000,6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6,red
4770,7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6,white
6422,6.8,0.23,0.48,1.5,0.036,35,165,0.99162,3.18,0.45,11.3,6,white
5947,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,7,white
1909,6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,6,white
5487,7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6,white
1463,6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6,red
1406,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,7,red
5090,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,white
5493,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5,white
1754,8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6,white
5516,7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6,white
933,7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6,red
1110,10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6,red
1821,7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6,white
2867,8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7,white
1,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,red
612,13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5,red
3814,7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5,white
2213,7.5,0.21,0.68,10.9,0.045,38,133,0.9978,3,0.36,8.7,5,white
2446,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5,white
2972,10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6,white
5376,6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5,white
1918,5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7,white
5965,6.3,0.19,0.33,10.1,0.063,63,133,0.99561,2.86,0.41,9.1,5,white
3337,6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6,white
1582,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,red
5434,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5,white
